energy,intensity,InitialState,FinalState,alpha,Hf,gamma
510.00,0.076,513.000_218PO,0.000_218PO,0.0306,0.000,1
511.00,0.033,888.040_214BI,377.040_214BI,0,0.000,1
516.18,91.14,2200.190_206PB,1684.040_206PB,0.0887,0.0001250,1
519.90,0.0165,2728.609_214PO,2208.690_214PO,0,0.000,1
524.60,0.0168,2728.609_214PO,2204.089_214PO,0,0.000,1
528.00,0.005,1543.372_214PO,1015.039_214PO,0.0282,0.000,1
533.66,0.181,533.676_214BI,0.000_214BI,0.06,0.000,1
536.78,0.065,2266.410_214PO,1729.609_214PO,0,0.000,1
537.47,29.4,1340.540_206PB,803.060_206PB,0.09,0.000,1
538.42,0.02,797.290_214BI,258.870_214BI,0,0.000,1
542.83,0.077,2204.089_214PO,1661.279_214PO,0.06,0.000,1
543.83,0.044,839.009_214BI,295.223_214BI,0.00834,0.000,1
547.60,0.004,2208.690_214PO,1661.279_214PO,0,0.000,1
551.90,0.0,3000.000_214PO,2447.702_214PO,0,0.000,1
572.78,0.078,1847.443_214PO,1274.766_214PO,0.00779,0.000,1
579.14,0.0,1994.640_214PO,1415.495_214PO,0,0.000,1
580.14,0.37,839.009_214BI,258.870_214BI,0.00732,0.000,1
581.90,0.0,2785.960_214PO,2204.089_214PO,0,0.000,1
595.24,0.017,2010.830_214PO,1415.495_214PO,0.0215,0.000,1
598.50,0.0,2802.530_214PO,2204.089_214PO,0,0.000,1
600.00,0.008,2719.270_214PO,2118.533_214PO,0,0.000,1
600.66,0.0005,600.660_222RN,0.000_222RN,0.00766,0.000,1
609.32,45.4996,609.316_214PO,0.000_214PO,0.0204,0.000,1
615.77,0.054,1890.306_214PO,1274.766_214PO,0.00674,0.000,1
617.10,0.034,1994.640_214PO,1377.678_214PO,0.00672,0.000,1
626.40,0.004,2893.580_214PO,2266.410_214PO,0,0.000,1
630.80,0.018,2360.570_214PO,1729.609_214PO,0,0.000,1
630.80,0.018,2719.270_214PO,2088.440_214PO,0,0.000,1
633.10,0.056,2010.830_214PO,1377.678_214PO,0.044,0.000,1
634.72,0.0064,2482.468_214PO,1847.443_214PO,0.043,0.000,1
